date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:34	69103/69103	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Mar%202021%2018:11:35%20GMT	https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04	C:/Users/kaioc/Documents/Logos/PJ02/kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04.html	(from )
15:11:34	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5bca4a74db9fe%22	https://kingblack.site/robots.txt		(from )
15:11:35	91535/91535	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Nov%202018%2017:01:04%20GMT	https://static.tuasaude.com/media/article/sg/yj/remedio-caseiro-para-pressao-alta_32743_l.jpg	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/media/article/sg/yj/remedio-caseiro-para-pressao-alta_32743_l.jpg	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:36	142583/142583	---MCZ	200	added ('OK')	text/css	date:Thu,%2026%20Nov%202020%2011:23:16%20GMT	https://static.tuasaude.com/assets/ts-0734.css	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/assets/ts-0734.css	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:36	5760/5760	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Jun%202019%2014:37:45%20GMT	https://static.tuasaude.com/img/logo.png	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/img/logo.png	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:36	349177/349177	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jun%202020%2009:07:07%20GMT	https://static.tuasaude.com/media/article/ej/mb/5ef1c63acc5a8/m.jpg	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/media/article/ej/mb/5ef1c63acc5a8/m.jpg	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:36	2525/2525	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Nov%202016%2010:47:55%20GMT	https://static.tuasaude.com/media/author/aa/aa/manuel/s2.jpg	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/media/author/aa/aa/manuel/s2.jpg	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:37	174244/174244	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Nov%202018%2017:03:02%20GMT	https://static.tuasaude.com/media/article/fs/dr/remedio-caseiro-para-pressao-alta_32744_l.jpg	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/media/article/fs/dr/remedio-caseiro-para-pressao-alta_32744_l.jpg	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:37	274705/274705	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Nov%202018%2017:04:21%20GMT	https://static.tuasaude.com/media/article/jf/hl/remedio-caseiro-para-pressao-alta_32745_l.jpg	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/media/article/jf/hl/remedio-caseiro-para-pressao-alta_32745_l.jpg	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
15:11:37	183329/183329	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Nov%202018%2017:04:33%20GMT	https://static.tuasaude.com/media/article/zf/xx/remedio-caseiro-para-pressao-alta_32746_l.jpg	C:/Users/kaioc/Documents/Logos/PJ02/static.tuasaude.com/media/article/zf/xx/remedio-caseiro-para-pressao-alta_32746_l.jpg	(from https://kingblack.site/c/45128ce8-8ae3-4dd0-822a-def67255ab04)
